size	stride	elapsed(s)	cycles
4096	1	0.000029	32
4096	2	0.000814	814
4096	4	0.000809	809
4096	8	0.000815	814
4096	16	0.000522	524
4096	32	0.000201	200
4096	64	0.000168	169
4096	128	0.000168	168
4096	256	0.000165	166
4096	512	0.000164	164
4096	1024	0.000180	180
4096	2048	0.000227	227
8192	1	0.000025	25
8192	2	0.000352	352
8192	4	0.000337	338
8192	8	0.000339	338
8192	16	0.000338	338
8192	32	0.000340	340
8192	64	0.000342	342
8192	128	0.000334	333
8192	256	0.000327	327
8192	512	0.000360	360
8192	1024	0.000327	328
8192	2048	0.000389	389
8192	4096	0.000591	591
16384	1	0.000034	34
16384	2	0.000688	688
16384	4	0.000675	675
16384	8	0.000673	673
16384	16	0.000702	701
16384	32	0.000676	676
16384	64	0.000706	706
16384	128	0.000690	689
16384	256	0.000661	661
16384	512	0.000685	685
16384	1024	0.000870	870
16384	2048	0.000901	901
16384	4096	0.000981	980
16384	8192	0.001199	1199
32768	1	0.000053	52
32768	2	0.001414	1414
32768	4	0.001345	1345
32768	8	0.001374	1374
32768	16	0.001349	1348
32768	32	0.001353	1353
32768	64	0.001382	1383
32768	128	0.001356	1355
32768	256	0.001367	1367
32768	512	0.001409	1409
32768	1024	0.001734	1735
32768	2048	0.002234	2234
32768	4096	0.003099	3099
32768	8192	0.001948	1948
32768	16384	0.002417	2417
65536	1	0.000122	122
65536	2	0.002689	2689
65536	4	0.002689	2689
65536	8	0.002674	2674
65536	16	0.002859	2859
65536	32	0.003019	3019
65536	64	0.005987	5986
65536	128	0.008745	8744
65536	256	0.008939	8939
65536	512	0.012531	12531
65536	1024	0.015394	15394
65536	2048	0.017425	17425
65536	4096	0.026687	26687
65536	8192	0.006165	6165
65536	16384	0.003894	3894
65536	32768	0.004718	4718
131072	1	0.000200	199
131072	2	0.005433	5433
131072	4	0.005376	5376
131072	8	0.005352	5352
131072	16	0.005708	5708
131072	32	0.006378	6378
131072	64	0.012623	12623
131072	128	0.018510	18510
131072	256	0.018856	18857
131072	512	0.027024	27024
131072	1024	0.033980	33980
131072	2048	0.040986	40986
131072	4096	0.053435	53436
131072	8192	0.042394	42394
131072	16384	0.012416	12416
131072	32768	0.007794	7794
131072	65536	0.009297	9297
262144	1	0.000380	380
262144	2	0.010832	10831
262144	4	0.010832	10833
262144	8	0.010939	10940
262144	16	0.011826	11826
262144	32	0.016176	16176
262144	64	0.031126	31126
262144	128	0.048884	48884
262144	256	0.052608	52608
262144	512	0.067011	67011
262144	1024	0.075655	75654
262144	2048	0.093538	93538
262144	4096	0.129047	129047
262144	8192	0.101811	101811
262144	16384	0.084159	84159
262144	32768	0.024881	24881
262144	65536	0.015591	15591
262144	131072	0.018710	18711
524288	1	0.000786	787
524288	2	0.021555	21555
524288	4	0.021595	21596
524288	8	0.021848	21848
524288	16	0.024295	24295
524288	32	0.039522	39522
524288	64	0.076781	76781
524288	128	0.131545	131545
524288	256	0.148984	148984
524288	512	0.191567	191566
524288	1024	0.206700	206700
524288	2048	0.233633	233633
524288	4096	0.241733	241732
524288	8192	0.238498	238497
524288	16384	0.208293	208292
524288	32768	0.168707	168707
524288	65536	0.051458	51458
524288	131072	0.031182	31181
524288	262144	0.037791	37791
1048576	1	0.001615	1615
1048576	2	0.043615	43615
1048576	4	0.043091	43091
1048576	8	0.043614	43613
1048576	16	0.049019	49019
1048576	32	0.082089	82089
1048576	64	0.158763	158763
1048576	128	0.278517	278517
1048576	256	0.324850	324850
1048576	512	0.417507	417507
1048576	1024	0.454755	454754
1048576	2048	0.494442	494442
1048576	4096	0.491901	491901
1048576	8192	0.476097	476097
1048576	16384	0.491795	491795
1048576	32768	0.432521	432521
1048576	65536	0.410016	410016
1048576	131072	0.102867	102866
1048576	262144	0.062494	62495
1048576	524288	0.074678	74677
2097152	1	0.003181	3181
2097152	2	0.086119	86119
2097152	4	0.086457	86457
2097152	8	0.087192	87192
2097152	16	0.097262	97262
2097152	32	0.164675	164675
2097152	64	0.317985	317984
2097152	128	0.556019	556019
2097152	256	0.648648	648648
2097152	512	0.841928	841928
2097152	1024	0.922418	922418
2097152	2048	0.985316	985316
2097152	4096	0.959716	959716
2097152	8192	0.952244	952244
2097152	16384	0.930559	930559
2097152	32768	0.909026	909026
2097152	65536	0.828834	828833
2097152	131072	0.669051	669051
2097152	262144	0.205754	205754
2097152	524288	0.124985	124985
2097152	1048576	0.149038	149038
4194304	1	0.007347	7347
4194304	2	0.172894	172894
4194304	4	0.174862	174862
4194304	8	0.182909	182908
4194304	16	0.225171	225171
4194304	32	0.377041	377042
4194304	64	0.708470	708470
4194304	128	1.183276	1183275
4194304	256	1.403763	1403762
4194304	512	1.782843	1782842
4194304	1024	1.962457	1962456
4194304	2048	2.075056	2075056
4194304	4096	2.021770	2021770
4194304	8192	1.922012	1922012
4194304	16384	1.900091	1900090
4194304	32768	1.893641	1893641
4194304	65536	1.750300	1750299
4194304	131072	1.639550	1639551
4194304	262144	1.340221	1340221
4194304	524288	0.411977	411977
4194304	1048576	0.250371	250371
4194304	2097152	0.298485	298485
