size	stride	elapsed(s)	cycles
4096	1	0.000040	44
4096	2	0.001044	1043
4096	4	0.001047	1046
4096	8	0.001063	1064
4096	16	0.000703	705
4096	32	0.000236	236
4096	64	0.000221	222
4096	128	0.000224	224
4096	256	0.000231	231
4096	512	0.000244	245
4096	1024	0.000272	272
4096	2048	0.000433	433
8192	1	0.000030	30
8192	2	0.000504	504
8192	4	0.000490	490
8192	8	0.000466	466
8192	16	0.000443	442
8192	32	0.000453	453
8192	64	0.000471	471
8192	128	0.000440	440
8192	256	0.000448	448
8192	512	0.000460	461
8192	1024	0.000515	515
8192	2048	0.000541	541
8192	4096	0.001515	1515
16384	1	0.000043	44
16384	2	0.000910	909
16384	4	0.000897	897
16384	8	0.000871	871
16384	16	0.000876	875
16384	32	0.000884	884
16384	64	0.000910	910
16384	128	0.000952	952
16384	256	0.000880	880
16384	512	0.000893	894
16384	1024	0.000920	921
16384	2048	0.000974	975
16384	4096	0.001082	1083
16384	8192	0.001731	1732
32768	1	0.000072	72
32768	2	0.001801	1802
32768	4	0.001735	1735
32768	8	0.001738	1738
32768	16	0.001796	1796
32768	32	0.001805	1805
32768	64	0.001821	1821
32768	128	0.001828	1828
32768	256	0.001921	1920
32768	512	0.001813	1813
32768	1024	0.001839	1839
32768	2048	0.002274	2274
32768	4096	0.003091	3091
32768	8192	0.002165	2165
32768	16384	0.003488	3487
65536	1	0.000140	140
65536	2	0.003517	3516
65536	4	0.003463	3463
65536	8	0.003493	3493
65536	16	0.003526	3525
65536	32	0.003507	3507
65536	64	0.006007	6007
65536	128	0.008773	8773
65536	256	0.008924	8924
65536	512	0.012839	12838
65536	1024	0.016389	16389
65536	2048	0.014538	14537
65536	4096	0.025986	25986
65536	8192	0.007156	7156
65536	16384	0.004353	4353
65536	32768	0.010191	10191
131072	1	0.000236	236
131072	2	0.007005	7005
131072	4	0.006924	6925
131072	8	0.006930	6930
131072	16	0.007020	7020
131072	32	0.007083	7082
131072	64	0.012710	12710
131072	128	0.018905	18905
131072	256	0.019239	19238
131072	512	0.026095	26095
131072	1024	0.034247	34247
131072	2048	0.040611	40611
131072	4096	0.053063	53063
131072	8192	0.053344	53344
131072	16384	0.012668	12668
131072	32768	0.008956	8955
131072	65536	0.014012	14012
262144	1	0.000459	459
262144	2	0.014059	14059
262144	4	0.014140	14140
262144	8	0.013905	13905
262144	16	0.013913	13914
262144	32	0.015314	15314
262144	64	0.028470	28471
262144	128	0.044486	44486
262144	256	0.047298	47299
262144	512	0.061832	61832
262144	1024	0.073243	73243
262144	2048	0.086821	86821
262144	4096	0.115620	115621
262144	8192	0.102911	102911
262144	16384	0.083852	83852
262144	32768	0.024163	24163
262144	65536	0.017410	17410
262144	131072	0.027734	27733
524288	1	0.000932	932
524288	2	0.028362	28361
524288	4	0.027982	27983
524288	8	0.028363	28362
524288	16	0.027919	27918
524288	32	0.040145	40145
524288	64	0.076830	76830
524288	128	0.133524	133524
524288	256	0.151652	151652
524288	512	0.194164	194163
524288	1024	0.208526	208526
524288	2048	0.233064	233064
524288	4096	0.236591	236591
524288	8192	0.251746	251747
524288	16384	0.206023	206022
524288	32768	0.168332	168332
524288	65536	0.051999	51999
524288	131072	0.034734	34734
524288	262144	0.056225	56225
1048576	1	0.001977	1977
1048576	2	0.055443	55443
1048576	4	0.055851	55851
1048576	8	0.056098	56098
1048576	16	0.055618	55617
1048576	32	0.081448	81447
1048576	64	0.158184	158184
1048576	128	0.280177	280177
1048576	256	0.324262	324262
1048576	512	0.418615	418614
1048576	1024	0.454673	454673
1048576	2048	0.490638	490638
1048576	4096	0.474449	474448
1048576	8192	0.478710	478709
1048576	16384	0.439176	439176
1048576	32768	0.411791	411791
1048576	65536	0.336986	336985
1048576	131072	0.103382	103382
1048576	262144	0.069413	69413
1048576	524288	0.111524	111524
2097152	1	0.004058	4058
2097152	2	0.111286	111286
2097152	4	0.111212	111211
2097152	8	0.111456	111457
2097152	16	0.111671	111671
2097152	32	0.163363	163362
2097152	64	0.316391	316391
2097152	128	0.560498	560497
2097152	256	0.651248	651247
2097152	512	0.843992	843992
2097152	1024	0.913954	913954
2097152	2048	0.979012	979012
2097152	4096	0.952690	952690
2097152	8192	0.961712	961712
2097152	16384	0.919355	919355
2097152	32768	1.003574	1003574
2097152	65536	0.851516	851516
2097152	131072	0.803881	803882
2097152	262144	0.206322	206323
2097152	524288	0.139491	139491
2097152	1048576	0.222749	222750
4194304	1	0.008737	8736
4194304	2	0.223622	223623
4194304	4	0.223965	223966
4194304	8	0.225788	225787
4194304	16	0.237893	237893
4194304	32	0.356958	356958
4194304	64	0.671246	671246
4194304	128	1.156139	1156139
4194304	256	1.362221	1362221
4194304	512	1.729357	1729357
4194304	1024	1.878412	1878412
4194304	2048	2.048136	2048136
4194304	4096	2.009506	2009506
4194304	8192	1.937980	1937980
4194304	16384	1.893205	1893205
4194304	32768	1.846976	1846976
4194304	65536	2.108706	2108705
4194304	131072	1.717812	1717812
4194304	262144	1.343614	1343613
4194304	524288	0.411889	411889
4194304	1048576	0.278664	278664
4194304	2097152	0.446103	446103
