size	stride	elapsed(s)	cycles
cache size, stride, time elapsed(s), cycles
4096	1	0.000012	17
4096	2	0.000341	341
4096	4	0.000334	334
4096	8	0.000440	440
4096	16	0.000312	312
4096	32	0.000351	351
4096	64	0.000224	224
4096	128	0.000187	187
4096	256	0.000151	152
4096	512	0.000181	181
4096	1024	0.000215	215
4096	2048	0.000394	391
cache size, stride, time elapsed(s), cycles
8192	1	0.000009	10
8192	2	0.000298	298
8192	4	0.000291	292
8192	8	0.000297	297
8192	16	0.000309	309
8192	32	0.000375	375
8192	64	0.000387	387
8192	128	0.000394	395
8192	256	0.000381	381
8192	512	0.000315	315
8192	1024	0.000259	259
8192	2048	0.000449	449
8192	4096	0.000840	840
cache size, stride, time elapsed(s), cycles
16384	1	0.000018	19
16384	2	0.000585	585
16384	4	0.000573	573
16384	8	0.000578	578
16384	16	0.000595	595
16384	32	0.000764	764
16384	64	0.000862	862
16384	128	0.000814	813
16384	256	0.000825	826
16384	512	0.000844	844
16384	1024	0.000752	752
16384	2048	0.000871	871
16384	4096	0.001459	1458
16384	8192	0.001685	1686
cache size, stride, time elapsed(s), cycles
32768	1	0.000064	64
32768	2	0.001300	1300
32768	4	0.001136	1135
32768	8	0.001162	1162
32768	16	0.001413	1413
32768	32	0.001556	1556
32768	64	0.001524	1525
32768	128	0.001630	1630
32768	256	0.001804	1804
32768	512	0.001634	1634
32768	1024	0.001613	1613
32768	2048	0.001397	1397
32768	4096	0.001721	1720
32768	8192	0.001746	1746
32768	16384	0.003596	3596
cache size, stride, time elapsed(s), cycles
65536	1	0.000102	102
65536	2	0.002390	2390
65536	4	0.002391	2392
65536	8	0.002492	2492
65536	16	0.002764	2765
65536	32	0.003642	3642
65536	64	0.004772	4772
65536	128	0.004184	4184
65536	256	0.005232	5232
65536	512	0.022844	22844
65536	1024	0.033376	33376
65536	2048	0.043092	43092
65536	4096	0.053259	53258
65536	8192	0.003793	3793
65536	16384	0.007097	7097
65536	32768	0.006168	6168
cache size, stride, time elapsed(s), cycles
131072	1	0.000204	204
131072	2	0.004979	4979
131072	4	0.004775	4776
131072	8	0.005324	5324
131072	16	0.005606	5605
131072	32	0.007117	7117
131072	64	0.008450	8450
131072	128	0.008553	8552
131072	256	0.010519	10519
131072	512	0.043772	43770
131072	1024	0.076396	76396
131072	2048	0.125623	125623
131072	4096	0.154536	154536
131072	8192	0.104904	104903
131072	16384	0.011446	11446
131072	32768	0.007856	7855
131072	65536	0.012355	12355
cache size, stride, time elapsed(s), cycles
262144	1	0.000398	399
262144	2	0.010321	10321
262144	4	0.011052	11052
262144	8	0.010658	10658
262144	16	0.011886	11886
262144	32	0.015715	15715
262144	64	0.019239	19239
262144	128	0.019868	19868
262144	256	0.022507	22507
262144	512	0.088122	88121
262144	1024	0.108878	108877
262144	2048	0.234377	234377
262144	4096	0.319684	319683
262144	8192	0.296639	296639
262144	16384	0.228844	228844
262144	32768	0.015158	15158
262144	65536	0.014333	14333
262144	131072	0.025384	25385
cache size, stride, time elapsed(s), cycles
524288	1	0.001455	1455
524288	2	0.021034	21034
524288	4	0.020896	20895
524288	8	0.021830	21830
524288	16	0.024222	24222
524288	32	0.032371	32370
524288	64	0.045279	45279
524288	128	0.044196	44196
524288	256	0.051517	51517
524288	512	0.191999	191998
524288	1024	0.303106	303106
524288	2048	0.467291	467290
524288	4096	0.616044	616043
524288	8192	0.609551	609550
524288	16384	0.600309	600310
524288	32768	0.456140	456140
524288	65536	0.027528	27528
524288	131072	0.028980	28980
524288	262144	0.050070	50070
cache size, stride, time elapsed(s), cycles
1048576	1	0.002148	2148
1048576	2	0.041304	41303
1048576	4	0.042017	42016
1048576	8	0.043556	43555
1048576	16	0.048839	48838
1048576	32	0.068354	68354
1048576	64	0.110834	110834
1048576	128	0.108702	108702
1048576	256	0.113237	113236
1048576	512	0.423185	423184
1048576	1024	0.658162	658162
1048576	2048	0.947846	947845
1048576	4096	1.218847	1218846
1048576	8192	1.213469	1213470
1048576	16384	1.215628	1215628
1048576	32768	1.296692	1296692
1048576	65536	0.881553	881552
1048576	131072	0.057142	57142
1048576	262144	0.057600	57599
1048576	524288	0.100234	100233
cache size, stride, time elapsed(s), cycles
2097152	1	0.004057	4057
2097152	2	0.082526	82526
2097152	4	0.082698	82698
2097152	8	0.089489	89488
2097152	16	0.100022	100021
2097152	32	0.140338	140337
2097152	64	0.276590	276589
2097152	128	0.366722	366721
2097152	256	0.355811	355811
2097152	512	0.807940	807939
2097152	1024	1.431274	1431274
2097152	2048	2.001269	2001268
2097152	4096	2.453127	2453127
2097152	8192	2.376027	2376027
2097152	16384	2.594741	2594740
2097152	32768	2.647142	2647142
2097152	65536	2.369256	2369256
2097152	131072	1.715417	1715416
2097152	262144	0.169005	169005
2097152	524288	0.189839	189839
2097152	1048576	0.200978	200977
cache size, stride, time elapsed(s), cycles
4194304	1	0.007971	7971
4194304	2	0.168764	168764
4194304	4	0.173523	173526
4194304	8	0.183567	183564
4194304	16	0.200965	200965
4194304	32	0.297930	297930
4194304	64	0.537950	537948
4194304	128	0.760304	760304
4194304	256	0.515592	515592
4194304	512	1.366673	1366672
4194304	1024	2.725347	2725347
4194304	2048	4.260560	4260560
4194304	4096	5.247690	5247690
4194304	8192	4.541922	4541921
4194304	16384	5.215991	5215991
4194304	32768	5.347409	5347409
4194304	65536	5.048795	5048795
4194304	131072	4.878118	4878118
4194304	262144	3.317744	3317744
4194304	524288	0.229415	229414
4194304	1048576	0.231129	231129
4194304	2097152	0.419510	419509
